1PL	первое лицо, множественное число
1PL.ADD	первое лицо, множественное число, аддитив
1SG	первое лицо, единственное число
2PL	второе лицо, множественное число
2SG	второе лицо, единственное число
3	третье лицо
3PL	третье лицо, множественное число
3SG	третье лицо, единственное число
ablative	аблатив
accusative	винительный падеж
active participle	причастие, действительный залог
additive marker (-ak / -äk)	аддитив
additive particle (=at / =ät)	аддитив
adverbializer	наречие
agent noun	имя деятеля
aggregative numeral	агрегатив
Agreement	Согласование
aorist (past I)	аорист
aorist third-person plural	аорист, третье лицо, множественное число
aorist third-person singular	аорист, третье лицо, единственное число
Aspect	Вид
attenuative	аттенуатив
attributivizer	атрибутив
caritive	каритив
Cases	Падежи
causative (-t)	каузатив
causative (-tar)	каузатив
collective numeral	собирательность
comitative	комитатив
comparative	сравнительная степень
contrastive particle	контрастив
converb	конверб
converb with anteriority semantics	конверб, предшествование
converb with restrictive sequence semantics	конверб, ограничительное значение
converb with simultaneity semantics	конверб, одновременность
dative	дательный падеж
dative first person singular possessive	дательный падеж, посессивность, первое лицо, единственное число
dative second person singular possessive	дательный падеж, посессивность, второе лицо, единственное число
debitive	дебитив
Denominal derivation	Отыменная деривация
denominal verb (-ešt)	отыменный глагол
denominal verb (-l)	отыменный глагол
desiderative	дезидератив
destination marker	показатель назначения
detransitivizer (-g)	детранзитив
detransitivizer (-n)	детранзитив
deverbal noun	отглагольное имя
discontinuative	дисконтинуатив
distant causative	каузатив, искажённая форма
elative	элатив
emphatic particle	эмфатическая частица
existential predicate	экзистенциальность
first-person plural possessive	посессивность, первое лицо, множественное число
first-person singular possessive	посессивность, первое лицо, единственное число
full form	полная форма
genitive	родительный падеж
illative	иллатив
illative form of NMLZ2	номинализация, иллатив
imperative	императив
imperative second-person plural	императив, второе лицо, множественное число
inchoative (-ang)	инхоатив
inchoative (-em)	инхоатив
indefinite pronoun	неопределённость
inessive	инессив
inessive form of NMLZ2	номинализация, инессив
infinitive	инфинитив
ITER2 (-edə̈l)	итератив
ITER3 (-ə̑št)	итератив
iterative (-ə̑l)	итератив
jussive	юссив
jussive plural	юссив, множественное число
jussive singular	юссив, единственное число
lative	латив
manner verb	глагол образа действия
marker with meaning ‘since then’	значение «с тех пор»
mediopassive	медиопассив
Mood	Наклонение
Negation	Отрицание
negation	отрицание
negative attributivizer form	отрицание, атрибутив
negative converb	отрицание, конверб
negative participle	отрицание, причастие
negative preterite form	отрицание, претерит
Nominal derivation	Именная деривация
nominalization (-maš / -mäš)	номинализация
nominalization (-mə̑ / -mə̈ / -m)	номинализация
Non-finite	Нефинитные формы
non-past	непрошедшее время
non-past first-person plural	непрошедшее время, первое лицо, множественное число
non-past first-person singular	непрошедшее время, первое лицо, единственное число
non-past second-person plural	непрошедшее время, второе лицо, множественное число
non-past second-person singular	непрошедшее время, второе лицо, единственное число
non-past third-person plural	непрошедшее время, третье лицо, множественное число
non-past third-person singular	непрошедшее время, третье лицо, единственное число
Number	Число
Numerals	Числительные
old (unprodactive) inessive (-nə̑ / -nə̈)	инессив
old (unproductive) illative (-kə̑ / -kə̈)	иллатив
old (unproductive) lative (-an / -än)	латив
optative	оптатив
ordinal numeral	порядковое числительное
Other tags	Прочие пометы
particle	частица
Particles	Частицы
passive participle	причастие, страдательный залог
passive participle/nominalization	причастие, страдательный залог, номинализация
plural	множественное число
Possessiveness	Посессивность
possessiveness	посессивность
pre-imperative marker of non-categoricality (-ə̑ma / -ə̈mä / -emä)	смягчение категоричности перед императивом, тип 2
pre-imperative marker of non-categoricality (=aj / =äj)	смягчение категоричности перед императивом, тип 1
preterite (past II)	претерит
proprietive	проприетив
punctive	пунктив
quantitative attributivizer	атрибутив, количественный показатель
reflexive	рефлексив
retrospective shift (ə̑l'ə̑)	ретроспективный сдвиг, тип 1
retrospective shift (ə̑lə̑n)	ретроспективный сдвиг, тип 2
second-person plural possessive	посессивность, второе лицо, множественное число
second-person singular possessive	посессивность, второе лицо, единственное число
semelfactive	семельфактив
similative	одновременность
singular	единственное число
special marker for kinship terms	показатель термина родства
Tense	Время
third-person plural possessive	посессивность, третье лицо, множественное число
third-person singular possessive	посессивность, третье лицо, единственное число
Valency derivation	Изменение валентности
